#
#@
ра=01
#$
**************|*|*****|***|8150991764,12|0|0|11152071604,04|4689318006,87|11967369402,86|2912998676,75|7335693965,30|0|0|1130171028,36|0|0|
**************|1|20500|000|0|0|0|0|0|0|0|0|0|0|1533874,97|0|0|
00000000000000000|1|20500|000|0|0|0|0|0|0|0|0|0|0|1533874,97|0|0|
**************|1|20512|000|1043300,00|0|0|140000,00|0|0|0|1183300,00|0|0|0|0|0|
10807081010000110|1|20512|000|1043300,00|0|0|140000,00|0|0|0|1183300,00|0|0|0|0|0|
**************|1|20551|000|0|0|0|3750987,43|0|3750987,43|0|0|0|0|0|0|0|
21925138020000150|1|20551|000|0|0|0|2002520,55|0|2002520,55|0|0|0|0|0|0|0|
21925201020000150|1|20551|000|0|0|0|0,10|0|0,10|0|0|0|0|0|0|0|
21925382020000150|1|20551|000|0|0|0|789103,59|0|789103,59|0|0|0|0|0|0|0|
21925554020000150|1|20551|000|0|0|0|83269,77|0|83269,77|0|0|0|0|0|0|0|
21935460020000150|1|20551|000|0|0|0|35532,00|0|35532,00|0|0|0|0|0|0|0|
21945190020000150|1|20551|000|0|0|0|11100,06|0|11100,06|0|0|0|0|0|0|0|
21951360020000150|1|20551|000|0|0|0|828982,14|0|828982,14|0|0|0|0|0|0|0|
21990000020000150|1|20551|000|0|0|0|479,22|0|479,22|0|0|0|0|0|0|0|
**************|1|20589|000|0|0|0|13247,60|0|0|0|13247,60|0|0|0|0|0|
11701020020000180|1|20589|000|0|0|0|13247,60|0|0|0|13247,60|0|0|0|0|0|
**************|1|20800|000|0|0|0|0|0|0|0|0|0|0|7108,00|0|0|
00000000000000000|1|20800|000|0|0|0|0|0|0|0|0|0|0|7108,00|0|0|
**************|1|20812|000|0|0|0|500,00|0|0|0|500,00|0|0|0|0|0|
09094210100590112|1|20812|000|0|0|0|500,00|0|0|0|500,00|0|0|0|0|0|
**************|1|20821|000|0|0|0|1509,14|0|0|0|1509,14|0|0|0|0|0|
09099000000010244|1|20821|000|0|0|0|1509,14|0|0|0|1509,14|0|0|0|0|0|
**************|1|20900|000|0|0|0|0|0|0|0|0|0|0|78687,67|0|0|
00000000000000000|1|20900|000|0|0|0|0|0|0|0|0|0|0|78687,67|0|0|
**************|1|20934|000|813,19|0|0|0|0|0|0|813,19|0|0|0|0|0|
11302992020000130|1|20934|000|813,19|0|0|0|0|0|0|813,19|0|0|0|0|0|
**************|1|20945|000|86250,73|0|0|14259,22|0|0|0|100509,95|0|0|0|0|0|
11607090020000140|1|20945|000|86250,73|0|0|0|0|0|0|86250,73|0|0|0|0|0|
11610122010000140|1|20945|000|0|0|0|14259,22|0|0|0|14259,22|0|0|0|0|0|
**************|1|30200|000|0|0|0|0|0|0|0|0|0|0|1090659076,30|0|0|
00000000000000000|1|30200|000|0|0|0|0|0|0|0|0|0|0|1090659076,30|0|0|
**************|1|30211|000|0|0|0|151667550,88|151633670,33|143403081,80|20006784,07|8264469,08|0|0|0|0|0|
09054210300590111|1|30211|000|0|0|0|5227496,64|5227496,64|5227496,64|652984,00|0|0|0|0|0|0|
09074210100590111|1|30211|000|0|0|0|371000,00|371000,00|371000,00|0|0|0|0|0|0|0|
09074230100590111|1|30211|000|0|0|0|130000,00|130000,00|130000,00|0|0|0|0|0|0|0|
09094210100590111|1|30211|000|0|0|0|74318392,01|74284511,46|66053922,93|9780025,57|8264469,08|0|0|0|0|0|
09094230100590111|1|30211|000|0|0|0|48050498,12|48050498,12|48050498,12|6352575,53|0|0|0|0|0|0|
09099000000010121|1|30211|000|0|0|0|20374894,76|20374894,76|20374894,76|2787873,03|0|0|0|0|0|0|
0909900000001о121|1|30211|000|0|0|0|2878316,28|2878316,28|2878316,28|390306,93|0|0|0|0|0|0|
